1,1,0
1,0,1
2,1,1
2,0,3
3,1,3
3,0,6
1,1,6
1,0,7
4,1,7
4,0,13
1,1,13
1,0,14
2,1,14
2,0,16
1,1,16
1,0,17
3,1,18
3,0,21
1,1,21
1,0,22
2,1,22
2,0,24
1,1,25
1,0,26
1,1,30
1,0,31
2,1,31
2,0,33
3,1,33
3,0,36
1,1,36
1,0,37
4,1,37
4,0,43
1,1,43
1,0,44
2,1,44
2,0,46
1,1,46
1,0,47
3,1,48
3,0,51
1,1,51
1,0,52
2,1,52
2,0,54
1,1,55
1,0,56
1,1,60
1,0,61
2,1,61
2,0,63
3,1,63
3,0,66
1,1,66
1,0,67
4,1,67
4,0,73
1,1,73
1,0,74
2,1,74
2,0,76
1,1,76
1,0,77
3,1,78
3,0,81
1,1,81
1,0,82
2,1,82
2,0,84
1,1,85
1,0,86
1,1,90
1,0,91
2,1,91
2,0,93
3,1,93
3,0,96
1,1,96
1,0,97
4,1,97
4,0,103
1,1,103
1,0,104
2,1,104
2,0,106
1,1,106
1,0,107
3,1,108
3,0,111
1,1,111
1,0,112
2,1,112
2,0,114
1,1,115
1,0,116
1,1,120
1,0,121
2,1,121
2,0,123
3,1,123
3,0,126
1,1,126
1,0,127
4,1,127
4,0,133
1,1,133
1,0,134
2,1,134
2,0,136
1,1,136
1,0,137
3,1,138
3,0,141
1,1,141
1,0,142
2,1,142
2,0,144
1,1,145
1,0,146
1,1,150
1,0,151
2,1,151
2,0,153
3,1,153
3,0,156
1,1,156
1,0,157
4,1,157
4,0,163
1,1,163
1,0,164
2,1,164
2,0,166
1,1,166
1,0,167
3,1,168
3,0,171
1,1,171
1,0,172
2,1,172
2,0,174
1,1,175
1,0,176
1,1,180
1,0,181
2,1,181
2,0,183
3,1,183
3,0,186
1,1,186
1,0,187
4,1,187
4,0,193
1,1,193
1,0,194
2,1,194
2,0,196
1,1,196
1,0,197
3,1,198
3,0,201
1,1,201
1,0,202
2,1,202
2,0,204
1,1,205
1,0,206
1,1,210
1,0,211
2,1,211
2,0,213
3,1,213
3,0,216
1,1,216
1,0,217
4,1,217
4,0,223
1,1,223
1,0,224
2,1,224
2,0,226
1,1,226
1,0,227
3,1,228
3,0,231
1,1,231
1,0,232
2,1,232
2,0,234
1,1,235
1,0,236
1,1,240
1,0,241
2,1,241
2,0,243
3,1,243
3,0,246
1,1,246
1,0,247
4,1,247
4,0,253
1,1,253
1,0,254
2,1,254
2,0,256
1,1,256
1,0,257
3,1,258
3,0,261
1,1,261
1,0,262
2,1,262
2,0,264
1,1,265
1,0,266
1,1,270
1,0,271
2,1,271
2,0,273
3,1,273
3,0,276
1,1,276
1,0,277
4,1,277
4,0,283
1,1,283
1,0,284
2,1,284
2,0,286
1,1,286
1,0,287
3,1,288
3,0,291
1,1,291
1,0,292
2,1,292
2,0,294
1,1,295
1,0,296
1,1,300
1,0,301
2,1,301
2,0,303
3,1,303
3,0,306
1,1,306
1,0,307
4,1,307
4,0,313
1,1,313
1,0,314
2,1,314
2,0,316
1,1,316
1,0,317
3,1,318
3,0,321
1,1,321
1,0,322
2,1,322
2,0,324
1,1,325
1,0,326
1,1,330
1,0,331
2,1,331
2,0,333
3,1,333
3,0,336
1,1,336
1,0,337
4,1,337
4,0,343
1,1,343
1,0,344
2,1,344
2,0,346
1,1,346
1,0,347
3,1,348
3,0,351
1,1,351
1,0,352
2,1,352
2,0,354
1,1,355
1,0,356
1,1,360
1,0,361
2,1,361
2,0,363
3,1,363
3,0,366
1,1,366
1,0,367
4,1,367
4,0,373
1,1,373
1,0,374
2,1,374
2,0,376
1,1,376
1,0,377
3,1,378
3,0,381
1,1,381
1,0,382
2,1,382
2,0,384
1,1,385
1,0,386
1,1,390
1,0,391
2,1,391
2,0,393
3,1,393
3,0,396
1,1,396
1,0,397
4,1,397
4,0,403
1,1,403
1,0,404
2,1,404
2,0,406
1,1,406
1,0,407
3,1,408
3,0,411
1,1,411
1,0,412
2,1,412
2,0,414
1,1,415
1,0,416
1,1,420
1,0,421
2,1,421
2,0,423
3,1,423
3,0,426
1,1,426
1,0,427
4,1,427
4,0,433
1,1,433
1,0,434
2,1,434
2,0,436
1,1,436
1,0,437
3,1,438
3,0,441
1,1,441
1,0,442
2,1,442
2,0,444
1,1,445
1,0,446
1,1,450
1,0,451
2,1,451
2,0,453
3,1,453
3,0,456
1,1,456
1,0,457
4,1,457
4,0,463
1,1,463
1,0,464
2,1,464
2,0,466
1,1,466
1,0,467
3,1,468
3,0,471
1,1,471
1,0,472
2,1,472
2,0,474
1,1,475
1,0,476
1,1,480
1,0,481
2,1,481
2,0,483
3,1,483
3,0,486
1,1,486
1,0,487
4,1,487
4,0,493
1,1,493
1,0,494
2,1,494
2,0,496
1,1,496
1,0,497
3,1,498
3,0,501
1,1,501
1,0,502
2,1,502
2,0,504
1,1,505
1,0,506
1,1,510
1,0,511
2,1,511
2,0,513
3,1,513
3,0,516
1,1,516
1,0,517
4,1,517
4,0,523
1,1,523
1,0,524
2,1,524
2,0,526
1,1,526
1,0,527
3,1,528
3,0,531
1,1,531
1,0,532
2,1,532
2,0,534
1,1,535
1,0,536
1,1,540
1,0,541
2,1,541
2,0,543
3,1,543
3,0,546
1,1,546
1,0,547
4,1,547
4,0,553
1,1,553
1,0,554
2,1,554
2,0,556
1,1,556
1,0,557
3,1,558
3,0,561
0,1,561
